CONTROL_STORE,CORR_SALES,CORR_CUST,DIST_SALES,DIST_CUST,SCORE_DIST_SALES,SCORE_DIST_CUST,FINAL_SCORE
155,-0.3084433163661213,-0.34343434343434337,658.2375,56.0,0.4557810849124224,0.3795518207282913,0.04586381146006224
156,-0.1424724590613285,0.010910082779885213,790.525,71.375,0.3434033990453791,0.20728291316526615,0.10478098398230049
157,0.7223316173016473,0.5547352140716845,683.8125,61.5,0.43405522785072237,0.3179271708683473,0.5072623075231004
158,-0.4984042662138538,-0.3333333333333333,212.65,37.0,0.834305829134523,0.592436974789916,0.14875130109431295
159,-0.008190840588237073,0.04907329048119163,216.25,37.75,0.8312476439762778,0.5840336134453781,0.36404092682865263
160,0.08766416145062782,-0.016271782538269816,649.9000000000001,58.875,0.46286375678933034,0.3473389355742297,0.22039876781897952
161,0.28359971897521163,0.17910620335162064,209.8875,36.75,0.8366525614955376,0.5952380952380952,0.4736491447651163
162,0.6583690945723472,0.5894368730129242,581.8625,53.875,0.5206613325404705,0.40336134453781514,0.5429571611658893
163,-0.07483596642905163,-0.6159158603246112,46.2625,8.5,0.9756513244171662,0.9117647058823529,0.2991660508864641
164,0.12067484203755113,0.1808625845698597,638.65,56.75,0.47242058540884646,0.3711484593837535,0.2862766178500027
165,0.35229735581764465,-0.17681305040145243,1067.6625000000001,78.875,0.10797623535283263,0.12324929971988796,0.1016774601222282
166,0.0024804801715593494,-0.006806975005112764,773.5875000000001,68.5,0.35779173546698373,0.23949579831932777,0.14824025973818952
167,0.6536859922026497,0.6431554943394248,56.10000000000001,5.5,0.9672944087243227,0.9453781512605042,0.8023785116317252
168,0.4131417862115595,0.33901152740905033,756.66875,65.75,0.37216414384088947,0.27030812324929976,0.34865639517769975
169,-0.6336582423113967,-0.6126755753785835,70.2875,8.0,0.9552421859652662,0.9173669467787114,0.1565688287634994
170,0.17554661192357485,-0.044150505665543835,133.8125,7.125,0.9012779603603986,0.927170868347339,0.4899612337414421
171,-0.3328178321356223,-0.16036195178885565,149.89999999999998,5.875,0.8876116954344906,0.9411764705882353,0.33390209552456196
172,-0.4992445925975236,-0.4037573910365493,637.225,53.0,0.4736311170339852,0.41316526610644255,-0.004051400123411264
173,0.1347413724469746,0.16771693962620804,211.99375,9.75,0.8348633108039948,0.8977591036414566,0.5087701816296585
174,-0.0013054273755457105,0.2811898714288441,137.7,6.75,0.8979755451374325,0.9313725490196079,0.5273081345525847
175,0.13655220783841726,0.11067707170098762,717.6,55.875,0.40535288589677565,0.38095238095238093,0.25838363659714036
176,0.32572604335590527,0.08064331372823594,40.5125,5.875,0.9805359257115855,0.9411764705882353,0.5820204383459906
177,-0.2117168985371899,-0.31382295723042397,223.3,38.0,0.8252586980413811,0.5812324929971988,0.2202378338177415
178,0.15526447792363376,0.5731966161906623,712.4125,61.0,0.40975964576021917,0.32352941176470584,0.36543753790980527
